Gene	ModuleColor	kWithin	ModuleName
ELF2	black	9.9030889773098	AUD2
ELFN1	black	6.71102868976041	AUD2
ENC1	black	8.10799960870878	AUD2
EPDR1	black	20.3067822209068	AUD2
ERC1	black	17.9201956891655	AUD2
ESCO1	black	5.36766873472055	AUD2
ETV6	black	15.1645755285958	AUD2
EVC	black	6.93913044288237	AUD2
EVL	black	27.679675250283	AUD2
F11R	black	32.8231520807302	AUD2
FAM117B	black	10.310692013794	AUD2
FAM174B	black	15.2754826230326	AUD2
FAM49A	black	31.5560077487357	AUD2
FAT1	black	3.66001961651495	AUD2
FBLN1	black	15.281546656501	AUD2
FLG	black	32.730030860017	AUD2
FRMD4B	black	19.7612651219801	AUD2
FZD6	black	5.59324033806542	AUD2
GABARAPL2	black	2.93178755084532	AUD2
GALK1	black	1.74786075269356	AUD2
GAS6	black	18.5780192233606	AUD2
GDPD5	black	30.7876892280802	AUD2
GOLM1	black	13.113738604554	AUD2
GPC6	black	21.7535852260026	AUD2
GPM6B	black	15.2669168421118	AUD2
GPR155	black	7.24396652489155	AUD2
GPRC5C	black	17.0482398148665	AUD2
GRAMD1A	black	21.045490720946	AUD2
GRAMD4	black	15.1001823083701	AUD2
GRASP	black	16.0977585349002	AUD2
HACE1	black	6.20855662860442	AUD2
HES4	black	2.40805312064036	AUD2
HHEX	black	25.690247202338	AUD2
HIC1	black	18.4006299568261	AUD2
HOXA2	black	19.9183965017716	AUD2
HOXA7	black	11.001565028448	AUD2
HRH1	black	6.28934434816267	AUD2
HS2ST1	black	6.74894006194295	AUD2
HS6ST1	black	14.6961053132	AUD2
IMPA2	black	30.7353426059523	AUD2
ITM2C	black	21.1413613103461	AUD2
ITPRIPL2	black	0.828108089013525	AUD2
JADE3	black	5.89001241720294	AUD2
JDP2	black	21.923245289102	AUD2
KCNJ15	black	30.2262440297435	AUD2
KCTD3	black	15.6550787508991	AUD2
KDM6A	black	20.1010013960605	AUD2
LAPTM4B	black	32.0640405263838	AUD2
LARGE1	black	30.1694605717783	AUD2
LARP1B	black	1.26016951311076	AUD2
LFNG	black	14.0206257850339	AUD2
LHFPL2	black	28.8906836650406	AUD2
LIMS1	black	17.9217905889803	AUD2
LMNTD2	black	14.5474598945087	AUD2
LONP1	black	13.2729831826848	AUD2
LRRC23	black	2.41441784033975	AUD2
LSAMP	black	18.3716718738182	AUD2
MAMDC2	black	19.2964806113038	AUD2
MAP3K2	black	3.52703554954952	AUD2
MAP3K9	black	30.2578265125776	AUD2
MARCH3	black	8.72437425296546	AUD2
MCTP2	black	12.9894051979846	AUD2
MERTK	black	25.1222924367378	AUD2
MFAP3L	black	9.66223927114749	AUD2
MFSD14C	black	1.91654259774146	AUD2
MIA2	black	11.5319282239262	AUD2
MINDY2	black	24.4838912503405	AUD2
MLF1	black	5.94806758096876	AUD2
MLYCD	black	1.24636339978215	AUD2
MOCOS	black	27.300494952941	AUD2
MPP6	black	1.69788828751608	AUD2
MRAS	black	23.3368897683953	AUD2
MRTFA	black	7.27499698945914	AUD2
MYO1D	black	18.1096249903143	AUD2
MYRF	black	21.5598785455006	AUD2
NARF	black	5.9712950571965	AUD2
NATD1	black	22.5408339063391	AUD2
NCK2	black	11.1665302724794	AUD2
NFATC1	black	6.61888580173666	AUD2
NNAT	black	13.2527501202726	AUD2
NNMT	black	18.7708166979267	AUD2
NPY1R	black	5.89065884872572	AUD2
NXN	black	8.48218472679654	AUD2
OLFML2B	black	21.8046507333227	AUD2
P4HA3	black	18.4240716160573	AUD2
PARP16	black	11.3210694927774	AUD2
PCDHGA10	black	5.54808734821928	AUD2
PCDHGB7	black	10.8644961080876	AUD2
PCYOX1L	black	0.85213976961843	AUD2
PDE10A	black	8.11681538078293	AUD2
PIM1	black	20.7701697112261	AUD2
PKDCC	black	34.2088037203966	AUD2
PLEKHG3	black	32.6713358518881	AUD2
POLD4	black	1.38012835250299	AUD2
