MEbisque4	MEblack	MEblue	MEbrown	MEbrown4	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkmagenta	MEdarkolivegreen	MEdarkorange	MEdarkorange2	MEdarkred	MEdarkslateblue	MEdarkturquoise	MEfloralwhite	MEgreen	MEgreenyellow	MEgrey	MEgrey60	MEivory	MElightcyan	MElightcyan1	MElightgreen	MElightsteelblue1	MElightyellow	MEmagenta	MEmediumpurple3	MEmidnightblue	MEorange	MEorangered4	MEpaleturquoise	MEpink	MEplum1	MEplum2	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEsienna3	MEskyblue	MEskyblue3	MEsteelblue	MEtan	MEthistle1	MEthistle2	MEturquoise	MEviolet	MEwhite	MEyellow	MEyellowgreen	Rows	Treatment	Time
E1	0.115437162197736	0.237489747869341	0.206389574730007	0.168378181172301	-0.0139869624832676	-0.291395311410956	0.269814789133815	-0.00657990844528705	-0.0262071701695865	0.201902486449588	0.0870817383334773	0.155212205593517	0.229507470420406	0.10662602282517	0.065081731942435	-0.231145824936079	0.0803735461973218	-0.0158858784466506	0.213848908456726	-0.260422305380984	0.104620838302788	0.0219285257283059	-0.108889594091819	-0.046171743855106	-0.168352825595386	0.0566740472359811	0.231560137513294	-0.130297011542469	0.171296466502372	0.0962155772705614	0.0419302926480301	0.190796347994491	0.206408345439266	-0.2264512235861	-0.162172029888925	-0.116821602068645	-0.207991100723325	0.0216559719616034	-0.176196263848903	-0.23456570460237	-0.139344766786587	-0.219459322069032	0.0747459359386706	0.135802214855349	-0.103234979901816	-0.0173787623380624	0.300188194882571	0.156877936471559	0.29079622580341	-0.209625880988489	0.124180213885166	-0.0893889143803371	E1	Untreated	24
E2	-0.100475733509997	-0.097598323835003	0.195862763129063	0.0208119417971969	-0.125778412303899	-0.290556686948632	0.150065123495061	-0.267795040024837	-0.268015397474309	0.0440549699812341	-0.0388660234471369	-0.00539454551304469	0.0476321375447271	-0.0611811917464893	-0.315129867425159	-0.0692972225588645	0.29567180876374	0.307712722454087	0.073275274386395	-0.0338168800734152	0.0710440589275721	-0.0993127205902935	0.0508687226723845	0.0761100531807597	-0.321723549479713	0.215766107934242	-0.20001856206184	-0.13344338472026	0.264856480973625	-0.00510128477543902	0.262635722982133	0.231921594028472	0.19323607313411	0.0249975621204829	-0.0558703843546475	-0.177377949285557	-0.111467851047985	-0.251750317967158	-0.222383038191376	-0.268680797139804	0.21023202188015	0.099653459405495	0.163029349785093	0.223225651904789	0.0732124956551643	-0.175876572886042	0.0357603940622274	0.182501980656325	0.172228204685912	0.170064117491411	0.164877072166786	-0.257150547143007	E2	Untreated	24
E3	0.256051351689265	-0.187446556271891	0.132935193944963	-0.257685647261519	-0.284030242383782	0.0105853250290203	0.0256111768830702	-0.277562146879148	-0.239889446868626	-0.144567375846128	-0.256218587241805	-0.211006240944144	-0.0612589343946493	-0.029068936838501	0.0333853703095547	-0.120709298447313	-0.0592931606039984	0.166376616110035	-0.172861851479618	0.128429404181474	-0.0377917183356868	-0.292908120011172	-0.313027475655374	0.334215086311565	-0.137506181595284	0.247018977200121	-0.0468824270868933	-0.189836450084552	0.0587182327189594	0.0804352491355119	0.397794877149421	0.062528165094393	-0.0629819734350171	0.0121153155824445	0.000856327663859003	0.245485467555334	0.240254335624539	0.221939855424036	0.109666580270838	-0.234032165459055	0.025955376669315	0.282373068802544	-0.207722285644259	0.341989017914883	0.354913255122726	0.140722644809251	-0.0681394386362193	0.264191201188306	-0.12888576706192	0.16832773445328	-0.232988944106017	-0.113753167694104	E3	Untreated	24
F1	-0.14341662594248	0.223581411484325	0.201019584439385	0.170885135619269	-0.0199618128940518	-0.0144891796183396	0.274555905020994	0.236688460573339	0.0937851735271738	0.248521463579225	-0.010851286417686	0.26579364779492	0.0240411171014859	0.339815006675323	0.131239795502776	0.0592011721725608	-0.0607243792733829	-0.234065265259843	0.217499328279745	-0.271292594116758	0.12012189810288	0.266928201423215	0.0742520968459228	-0.015279604087392	0.190589279586345	0.0115424106747892	0.236361843020084	-0.21363711837792	0.0766463028263083	0.222664347429	-0.0890658131436899	-0.168468124079931	0.201291792959524	-0.311351676588975	-0.236878096449255	-0.0625222454887723	-0.199258799065294	0.0419855672171567	-0.201209410383213	0.187123518132056	-0.12047771399716	-0.254788832871218	-0.0725961596001396	-0.246009334133703	-0.238924025352913	0.216507726607604	0.298583240084131	0.212090225196711	0.107638670840375	-0.315075622562983	0.113926709848723	-0.0537084323977463	F1	IL1b	24
F2	-0.291024416158536	-0.104785320881283	0.295784954439244	0.044676474821347	-0.149194327908951	-0.109386317453686	0.24877178850625	-0.100867367730799	-0.215681696768244	0.218440340076867	0.134194274288305	0.292425370829417	-0.156189297116387	0.13872409372155	-0.277239828345655	0.252641312418634	0.210135885795993	0.138485032031487	0.153794025763696	-0.245936496803382	0.260112141724761	0.151369880633481	0.247701456371744	0.15428545527526	-0.123119297809035	0.29696656958891	-0.19834417645175	-0.29488152283009	0.28765343014142	0.242877629871439	0.175394994096378	0.0231026548276828	0.299651866704446	-0.197519448487461	-0.310246963677124	-0.129750841772135	-0.146206652760229	-0.256168922956552	-0.316839426669392	0.092895181119453	0.284195574227919	0.0367808355192279	0.055672025077858	-0.0588601922536061	-0.0690513649463777	0.124410342367584	0.130588520282712	0.240030385287766	0.0926765451641694	0.0618354584530512	0.196502833358905	-0.322070664310019	F2	IL1b	24
F3	-0.0113988164349725	-0.249550272646821	0.229546227109661	-0.29448637817173	-0.428349291290427	0.219435659475205	0.138954075340611	-0.0804155113996157	-0.304479561601679	-0.034710095433641	-0.149013161396719	0.0796241139884572	-0.364249181555058	0.277235432007734	0.0554765824116505	0.205028973249152	-0.23183692906141	-0.077035105491752	-0.193305916781799	0.0352664581172782	0.0932336471515385	-0.115744531625173	-0.173865119823485	0.382691379383733	0.0434216818925832	0.243317058482093	-0.068076234441263	-0.3865517872465	-0.0351785102528907	0.266381128797001	0.174719638692033	-0.292898580450552	-0.0403008163379336	-0.269260283454659	-0.17780950500133	0.292344177886979	0.214865462634081	0.174141719353657	0.0322136054296035	0.131131506734577	0.0552918232136193	0.183403550113357	-0.39675467933407	-0.00403555138968352	0.192376476854073	0.38575323262116	0.00255009285527762	0.36817607173783	-0.305801248651739	0.0290980110152729	-0.258086191059574	-0.206070268871706	F3	IL1b	24
G1	-0.15458205853702	0.20229994227527	0.24318641354176	0.177032160129303	-0.020545750841474	-0.0107117477745322	0.307395236006874	0.254079959473843	0.123612202650184	0.314288075317635	0.131830554865859	0.320580580593551	-0.0112049112244647	0.352434336633322	0.136393385027323	0.0768298550634859	-0.0647208491037509	-0.248248054149102	0.241321613415785	-0.336185967973458	0.201049520050697	0.297569242952816	0.103453004256724	-0.0118775028143028	0.20772390365647	0.0492237245644513	0.239843756873363	-0.240069794107802	0.112672938718361	0.280216585330313	-0.0852939348498224	-0.160507764242071	0.222800061986991	-0.371136734416887	-0.276716444410602	-0.0590127146929609	-0.216592427473801	0.0372859812092337	-0.228469196261343	0.197843382612669	-0.0904321374101831	-0.252510379850049	-0.0512322270284914	-0.252380338068436	-0.264016389298929	0.248966075237596	0.323220653264446	0.224442778786243	0.110254696881678	-0.324861028641171	0.13818371930658	-0.0748824901949324	G1	IL1b_Elig	24
G2	-0.279597759641308	-0.0980976353083537	0.29894627344999	0.0437841336066537	-0.140480244959694	-0.110133557800521	0.235045041008335	-0.0877876184644576	-0.202163696028131	0.231631874082342	0.120182686147686	0.306488008861758	-0.168931341913055	0.181057317285948	-0.263255691602853	0.27320603630719	0.207333180674252	0.124546399018093	0.158385258940896	-0.282751977015907	0.282835280415174	0.179349497947762	0.266950186500383	0.140983761774638	-0.0980701339160406	0.290985490827575	-0.195739495406253	-0.313544787630359	0.291941393579182	0.264032627656883	0.176137422603213	0.0182031598970152	0.321637659986865	-0.236567055923053	-0.334713450780535	-0.12673793080828	-0.147988037048008	-0.272434981970798	-0.329374013479749	0.111398000725209	0.302464632611946	0.0298020838526699	0.0500336346775373	-0.0607925048384057	-0.108955774136929	0.160947026722833	0.138801722836456	0.226840200833116	0.114379843517584	0.0546961589440471	0.206881630144537	-0.319699776468108	G2	IL1b_Elig	24
G3	-0.0120924091648376	-0.255255298113721	0.194272811506011	-0.308043075339376	-0.404393449985795	0.221984200906896	0.0780371009247559	-0.0953896588552836	-0.295857525342463	-0.0860464456552632	-0.140612482062057	-0.0340484369751707	-0.35579195986663	0.202052625379056	0.0543568500298783	0.184268974061684	-0.26691117974094	-0.090539502912653	-0.222616169030685	0.0875533315480538	0.0649136946023678	-0.143762512559344	-0.209150256294	0.364267814388308	0.0409757198728507	0.214357631906941	-0.0772093332002956	-0.324540395610961	-0.0939489418357421	0.241732642266175	0.147064290035617	-0.311014667442441	-0.107334327198802	-0.237765992393786	-0.139254365128153	0.295602782144063	0.232713267587137	0.168768754801291	0.0727614662458127	0.114356140385386	0.0241879862221371	0.196747608285194	-0.403093356418343	-0.0253475825808838	0.202413122264162	0.338926196588614	-0.0695289953896825	0.35051411838698	-0.305903912068842	0.0286054546666688	-0.282958575865047	-0.168932599228344	G3	IL1b_Elig	24
H1	0.20471003608452	0.274467307892434	-0.0159285792381837	0.197535514208429	0.1361916846269	-0.274953031513497	0.106259035065173	0.0713771464631288	0.151224920679887	0.1954695902597	0.230003297065948	0.0251033325107504	0.316653937457863	-0.0424592808594783	0.120622449665987	-0.279699355133361	0.0574384611285592	-0.0587817935661542	0.210273161981996	-0.203000583725809	0.116336746937813	-0.00995573606775297	-0.128742074120476	-0.270693902056161	-0.134930720756638	-0.158121026807473	0.261176954224978	0.134935936483404	0.0273398128407781	-0.0197527478314563	-0.127954769851765	0.21473895027892	0.0826241095713512	-0.0857218619608675	-0.0282108409927615	-0.156871814188123	-0.223886916751628	0.0459571107501122	-0.0974428678681978	-0.246626434038974	-0.255065105287598	-0.267420198222685	0.170159770258198	0.128521933816084	-0.156147353444984	-0.179280917110186	0.212804638314654	-0.16147641034004	0.267136270099074	-0.230606794961324	0.104971430544292	0.0640618550547225	H1	Untreated	48
